"# ""Tabelle f�r Zeitbereich: 01.01.2020 00:00 bis 01.01.2023 00:00""";;;;;;;;
"# ""Quelle""";;;;;;;;
Datum;Zeit;BOTT SO2 1H Mittelwert [痢/m設;BUCH SO2 1H Mittelwert [痢/m設;DATT SO2 1H Mittelwert [痢/m設;DUB2 SO2 1H Mittelwert [痢/m設;DWER SO2 1H Mittelwert [痢/m設;EVOG SO2 1H Mittelwert [痢/m設;WALS SO2 1H Mittelwert [痢/m設
01.01.2020;01:00;<10;14;<10;;<10;13;13
01.01.2020;02:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;03:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;04:00;<10;<10;;<10;;<10;<10
01.01.2020;05:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;06:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;07:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;08:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;09:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;10:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;11:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;12:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;13:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;14:00;<10;<10;<10;<10;<10;;<10
01.01.2020;15:00;<10;;<10;<10;<10;<10;<10
01.01.2020;16:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;17:00;;<10;<10;<10;<10;<10;<10
01.01.2020;18:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;19:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;20:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;21:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;22:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;23:00;<10;<10;<10;<10;<10;<10;<10
01.01.2020;24:00:00;<10;<10;<10;<10;<10;<10;
02.01.2020;01:00;<10;<10;<10;<10;<10;<10;<10
02.01.2020;02:00;<10;<10;<10;;<10;<10;14
02.01.2020;03:00;<10;<10;<10;<10;<10;<10;63
02.01.2020;04:00;<10;<10;<10;<10;<10;<10;28
